Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
Rain Man,2017-06-09,1988,R,Drama,Barry Levinson,"Barry Morrow, Ronald Bass","Dustin Hoffman, Tom Cruise, Valeria Golino","English, Italian",8.0,tt0095953
Ralph Breaks the Internet,2019-07-09,2018,PG,"Animation, Adventure, Comedy","Phil Johnston, Rich Moore","Phil Johnston, Pamela Ribon, Rich Moore","John C. Reilly, Sarah Silverman, Gal Gadot",English,7.0,tt5848272
Ramsay's Best Restaurant,2015-02-14,2010–,N/A,Reality-TV,N/A,N/A,Gordon Ramsay,English,7.0,tt1744230
Real Steel,2016-10-06,2011,PG-13,"Action, Drama, Sci-Fi",Shawn Levy,"John Gatins, Dan Gilroy, Jeremy Leven","Hugh Jackman, Evangeline Lilly, Dakota Goyo","English, Ukrainian",7.0,tt0433035
Rectify,2015-04-24,2013–2016,TV-14,Drama,N/A,Ray McKinnon,"Aden Young, Abigail Spencer, J. Smith-Cameron",English,8.3,tt2183404
Remember Me,2020-09-06,2010,PG-13,"Drama, Romance",Allen Coulter,Will Fetters,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund","English, Chinese",7.1,tt1403981
Requiem,2019-09-11,2018,TV-MA,"Drama, Fantasy, Mystery",N/A,Kris Mrksa,"Lydia Wilson, James Frecheville, Sian Reese-Williams","English, British Sign , Welsh",6.5,tt6712390
Requiem for the American Dream,2016-07-20,2015,Not Rated,"Documentary, Biography, News","Peter D. Hutchison, Kelly Nyks, Jared P. Scott","Peter D. Hutchison, Kelly Nyks, Jared P. Scott","Noam Chomsky, Alan Greenspan, Malcolm X",English,8.1,tt3270538
Residue,2015-09-06,2015,N/A,"Drama, Horror, Mystery",N/A,N/A,"Natalia Tena, Iwan Rheon, Jamie Draven",English,6.1,tt4568372
Results,2015-10-27,2015,R,"Comedy, Romance",Andrew Bujalski,Andrew Bujalski,"Guy Pearce, Cobie Smulders, Kevin Corrigan","English, Japanese",5.4,tt3824412
Revolutionary Road,2018-06-12,2008,R,"Drama, Romance",Sam Mendes,"Justin Haythe, Richard Yates","Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald",English,7.3,tt0959337
The Ricky Gervais Show,2020-02-06,2010–2012,TV-MA,"Animation, Comedy, Talk-Show",N/A,"Ricky Gervais, Stephen Merchant, Karl Pilkington","Ricky Gervais, Stephen Merchant, Karl Pilkington",English,8.3,tt1553644
River,2019-07-14,2015,TV-MA,"Crime, Drama, Mystery",N/A,Abi Morgan,"Stellan Skarsgård, Nicola Walker, Adeel Akhtar","English, Arabic, Swedish, Romanian, French",8.0,tt4258440
Road to Perdition,2021-07-23,2002,R,"Crime, Drama, Thriller",Sam Mendes,"Max Allan Collins, Richard Piers Rayner, David Self","Tom Hanks, Tyler Hoechlin, Rob Maxey",English,7.7,tt0257044
Rogue One,2017-12-31,2016,PG-13,"Action, Adventure, Sci-Fi",Gareth Edwards,"Chris Weitz, Tony Gilroy, John Knoll","Felicity Jones, Diego Luna, Alan Tudyk",English,7.8,tt3748528
Roller Girls,2017-02-26,2014–,N/A,Documentary,N/A,N/A,"Claire Liauzun, Elsa Lomont, Maïna Joly, Nicolas Goury",French,N/A,tt3495310
Romancing the Stone,2017-06-21,1984,PG,"Action, Adventure, Comedy",Robert Zemeckis,"Diane Thomas, Lem Dobbs, Howard Franklin","Michael Douglas, Kathleen Turner, Danny DeVito","English, Spanish, French",6.9,tt0088011
Room 237,2013-12-14,2012,Not Rated,Documentary,Rodney Ascher,Rodney Ascher,"Bill Blakemore, Geoffrey Cocks, Juli Kearns",English,6.2,tt2085910
Rounders,2016-03-01,1998,R,"Crime, Drama",John Dahl,"David Levien, Brian Koppelman","Matt Damon, Edward Norton, Gretchen Mol","English, Hebrew, Russian",7.3,tt0128442
Run,2016-01-30,2020,PG-13,"Mystery, Thriller",Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian","Sarah Paulson, Kiera Allen, Sara Sohn",English,6.7,tt8633478
Rushmore,2017-04-06,1998,R,"Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Owen Wilson","Jason Schwartzman, Bill Murray, Olivia Williams","English, Spanish, Latin, French",7.7,tt0128445
Russian Doll,2020-01-03,2019–,TV-MA,"Adventure, Comedy, Drama",N/A,"Leslye Headland, Natasha Lyonne, Amy Poehler","Natasha Lyonne, Charlie Barnett, Sharlto Copley",English,7.8,tt7520794
Ryan Hamilton: Happy Face,2017-08-29,2017,N/A,"Documentary, Comedy",Marcus Raboy,Ryan Hamilton,Ryan Hamilton,English,7.3,tt6892378
SPF-18,2018-09-18,2017,PG-13,"Drama, Romance, Sport",Alex Israel,"Alex Israel, Michael Berk","Carson Meyer, Noah Centineo, Bianca A. Santos",English,3.2,tt7296862
Salem,2015-09-02,2014–2017,TV-MA,"Drama, Fantasy, Horror",N/A,"Brannon Braga, Adam Simon","Janet Montgomery, Shane West, Seth Gabel",English,7.2,tt2963254
Salmon Fishing in the Yemen,2014-07-02,2011,PG-13,"Comedy, Drama, Romance",Lasse Hallström,"Simon Beaufoy, Paul Torday, Fuad Al-Qrize","Ewan McGregor, Emily Blunt, Amr Waked","English, Arabic, Mandarin",6.8,tt1441952
San Andreas,2017-05-27,2015,PG-13,"Action, Adventure, Thriller",Brad Peyton,"Carlton Cuse, Andre Fabrizio, Jeremy Passmore","Dwayne Johnson, Carla Gugino, Alexandra Daddario",English,6.1,tt2126355
Sand Castle,2017-04-23,2017,TV-MA,"Action, Drama, War",Fernando Coimbra,Chris Roessner,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill","English, Arabic",6.3,tt2582576
Sarah Silverman: A Speck of Dust,2017-06-02,2017,TV-MA,Comedy,Liam Lynch,Sarah Silverman,"Sarah Silverman, Troy",English,6.8,tt6948354
Saturday Night Live,2015-09-23,1975–,TV-14,"Comedy, Music",N/A,Lorne Michaels,"The Saturday Night Live Band, Don Pardo, Darrell Hammond",English,8.0,tt0072562
Save the Date,2015-09-19,2012,R,"Comedy, Romance",Michael Mohan,"Jeffrey Brown, Michael Mohan, Egan Reich","Lizzy Caplan, Alison Brie, Mark Webber",English,5.8,tt1965065
Saving Mr. Banks,2019-03-19,2013,PG-13,"Biography, Comedy, Drama",John Lee Hancock,"Kelly Marcel, Sue Smith","Emma Thompson, Tom Hanks, Annie Rose Buckley",English,7.5,tt2140373
Schitt's Creek,2020-10-06,2015–2020,TV-14,Comedy,N/A,"Dan Levy, Eugene Levy","Eugene Levy, Catherine O'Hara, Dan Levy",English,8.5,tt3526078
Scott Pilgrim vs. the World,2018-10-03,2010,PG-13,"Action, Comedy, Fantasy",Edgar Wright,"Michael Bacall, Edgar Wright, Bryan Lee O'Malley","Michael Cera, Mary Elizabeth Winstead, Kieran Culkin",English,7.5,tt0446029
Searching for Bobby Fischer,2020-12-14,1993,PG,"Biography, Drama, Sport",Steven Zaillian,"Fred Waitzkin, Steven Zaillian","Joe Mantegna, Ben Kingsley, Max Pomeranc",English,7.4,tt0108065
Secrets of Henry VIII's Palace: Hampton Court,2016-05-03,2013,N/A,Documentary,Sam Taplin,N/A,Samuel West,English,7.4,tt6959560
Secrets of Underground London,2015-10-12,2014,N/A,Thriller,Vicky Matthews,N/A,N/A,English,6.7,tt6959394
Seeking a Friend for the End of the World,2018-09-22,2012,R,"Adventure, Comedy, Drama",Lorene Scafaria,Lorene Scafaria,"Steve Carell, Keira Knightley, Melanie Lynskey",English,6.7,tt1307068
Selfless,2019-09-17,2008,R,Thriller,Jacob Pander,"Arnold Pander, Jacob Pander","Josh Rengert, Mo Gallini, October Moore",English,4.4,tt1001549
Semi-Pro,2020-03-05,2008,R,"Comedy, Sport",Kent Alterman,Scot Armstrong,"Will Ferrell, Woody Harrelson, André 3000",English,5.8,tt0839980
Sense8,2016-10-15,2015–2018,TV-MA,"Drama, Mystery, Sci-Fi",N/A,"J. Michael Straczynski, Lana Wachowski, Lilly Wachowski","Bae Doona, Jamie Clayton, Tina Desai",English,8.3,tt2431438
Serendipity,2016-11-24,2001,PG-13,"Comedy, Romance",Peter Chelsom,Marc Klein,"John Cusack, Kate Beckinsale, Jeremy Piven","English, French",6.9,tt0240890
Late Night with Seth Meyers,2019-11-08,2014–,TV-14,"Comedy, Talk-Show",N/A,N/A,"Seth Meyers, Fred Armisen, The 8G Band",English,6.1,tt3513388
Seth Rogen's Hilarity for Charity,2018-04-15,2018,TV-MA,Comedy,Ryan Polito,"Seth Rogen, Sean O'Connor, Matthew Bass, Nate Fernald, Chase Mitchell, Zachary Rice, Alex Rubens, Beth Stelling","Benji Allonbe, Ike Barinholtz, Sacha Baron Cohen, Lakecia Benjamin",English,5.0,tt8178116
Sex Education,2021-01-15,2019–,TV-MA,"Comedy, Drama",N/A,Laurie Nunn,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa",English,8.3,tt7767422
Shame,2014-08-31,2011,NC-17,Drama,Steve McQueen,"Steve McQueen, Abi Morgan, Harold Manning","Michael Fassbender, Carey Mulligan, James Badge Dale",English,7.2,tt1723811
She's Out of My League,2018-10-11,2010,R,"Comedy, Romance",Jim Field Smith,"Sean Anders, John Morris","Jay Baruchel, Alice Eve, T.J. Miller","English, Ukrainian",6.4,tt0815236
Shelter,2016-03-25,2007,R,"Drama, Romance, Sport",Jonah Markowitz,Jonah Markowitz,"Trevor Wright, Brad Rowe, Tina Holmes",English,7.6,tt0942384
Sherlock,2015-08-19,2010–2017,TV-14,"Crime, Drama, Mystery",N/A,"Mark Gatiss, Steven Moffat","Benedict Cumberbatch, Martin Freeman, Una Stubbs",English,9.1,tt1475582
Sherlock Holmes,2019-06-09,2009,PG-13,"Action, Adventure, Mystery",Guy Ritchie,"Michael Robert Johnson, Anthony Peckham, Simon Kinberg","Robert Downey Jr., Jude Law, Rachel McAdams","English, French",7.6,tt0988045
Shimmer Lake,2018-08-13,2017,Not Rated,"Crime, Drama, Mystery",Oren Uziel,Oren Uziel,"Benjamin Walker, Rainn Wilson, Stephanie Sigman",English,6.3,tt1386691
Short Poppies,2014-04-13,2014,N/A,Comedy,N/A,Rhys Darby,"Rhys Darby, David Farrier, Jonno Roberts",English,7.8,tt3317064
Short Term 12,2016-02-27,2013,R,Drama,Destin Daniel Cretton,Destin Daniel Cretton,"Brie Larson, Frantz Turner, John Gallagher Jr.",English,8.0,tt2370248
Showrunners: The Art of Running a TV Show,2015-04-29,2014,Not Rated,"Documentary, Biography",Des Doyle,Des Doyle,"J.J. Abrams, Kristen Bell, David Boreanaz",English,6.7,tt1942971
Sick Note,2018-11-27,2017–2018,TV-MA,"Comedy, Crime",N/A,"Nat Saunders, James Serafinowicz","Rupert Grint, Nick Frost, Pippa Bennett-Warner",English,6.8,tt5770788
Sierra Burgess Is a Loser,2018-10-18,2018,PG-13,"Comedy, Drama, Romance",Ian Samuels,Lindsey Beer,"Shannon Purser, Kristine Froseth, RJ Cyler",English,5.8,tt3120280
Silver Linings Playbook,2019-01-04,2012,R,"Comedy, Drama, Romance",David O. Russell,"David O. Russell, Matthew Quick","Bradley Cooper, Jennifer Lawrence, Robert De Niro",English,7.7,tt1045658
Sin City,2016-04-24,2005,R,"Crime, Thriller","Frank Miller, Quentin Tarantino, Robert Rodriguez","Frank Miller, Robert Rodriguez","Mickey Rourke, Clive Owen, Bruce Willis",English,8.0,tt0401792
Singularity,2018-06-05,2017,PG-13,"Action, Adventure, Drama",Robert Kouba,"Robert Kouba, Sebastian Cepeda","Julian Schaffner, John Cusack, Carmen Argenziano",English,3.7,tt7312940
Sirens,2016-02-07,1994,R,"Comedy, Drama, Romance",John Duigan,John Duigan,"Hugh Grant, Tara Fitzgerald, Sam Neill",English,5.9,tt0111201
Sisters,2018-09-07,2015,R,Comedy,Jason Moore,Paula Pell,"Amy Poehler, Tina Fey, Maya Rudolph",English,6.0,tt1850457
Sky Line,2016-07-27,2015,Not Rated,"Documentary, Biography, Drama","Miguel Drake-McLaughlin, Jonny Leahan",N/A,"Arthur C. Clarke, Bradley C. Edwards, Ted Semon",English,5.7,tt4085130
Sleepy Hollow,2013-12-14,1999,R,"Fantasy, Horror, Mystery",Tim Burton,"Washington Irving, Kevin Yagher, Andrew Kevin Walker","Johnny Depp, Christina Ricci, Miranda Richardson","English, Latin",7.3,tt0162661
Slow Learners,2016-06-19,2015,Not Rated,"Comedy, Romance","Don Argott, Sheena M. Joyce","Heather Maidat, Peter C. Swords","Adam Pally, Megan Neuringer, Bobby Spears Jr.",English,5.8,tt2537390
Slow West,2018-08-12,2015,R,"Action, Adventure, Drama",John Maclean,John Maclean,"Kodi Smit-McPhee, Caren Pistorius, Aorere Paki","English, French",6.9,tt3205376
Smash His Camera,2013-12-20,2010,PG-13,Documentary,Leon Gast,N/A,"Floyd Abrams, Gilbert M. 'Broncho Billy' Anderson, Joseph Basile",English,6.9,tt1280015
Solo,2019-02-04,1996,PG-13,"Action, Sci-Fi, Thriller",Norberto Barba,"Robert Mason, David L. Corley","Mario Van Peebles, William Sadler, Barry Corbin","English, Spanish",4.0,tt0117688
Something Borrowed,2017-02-04,2011,PG-13,"Comedy, Drama, Romance",Luke Greenfield,"Jennie Snyder Urman, Emily Giffin","Ginnifer Goodwin, Kate Hudson, Colin Egglesfield",English,5.9,tt0491152
Something New,2016-02-07,2006,PG-13,"Comedy, Drama, Romance",Sanaa Hamri,Kriss Turner,"Sanaa Lathan, Simon Baker, Golden Brooks","English, Spanish",6.7,tt0437777
Sommersby,2017-02-25,1993,PG-13,"Drama, Mystery, Romance",Jon Amiel,"Daniel Vigne, Jean-Claude Carrière, Nicholas Meyer","Richard Gere, Jodie Foster, Lanny Flaherty",English,6.2,tt0108185
Sons of Anarchy,2016-02-07,2008–2014,TV-MA,"Crime, Drama, Thriller",N/A,Kurt Sutter,"Charlie Hunnam, Katey Sagal, Mark Boone Junior",English,8.5,tt1124373
Sons of Perdition,2013-10-24,2010,R,Documentary,"Tyler Measom, Jennilyn Merten",N/A,"Bruce Barlow, Deloy Bateman, Michelle Benward",English,6.9,tt1296893
Southcliffe,2015-03-25,2013,N/A,"Drama, Thriller",N/A,N/A,"Rory Kinnear, Shirley Henderson, Al Weaver",English,7.0,tt2446726
Space Force,2020-11-25,2020–,TV-MA,Comedy,N/A,"Steve Carell, Greg Daniels","Steve Carell, John Malkovich, Ben Schwartz",English,6.7,tt9612516
Spider-Man,2019-10-06,2002,PG-13,"Action, Adventure, Sci-Fi",Sam Raimi,"Stan Lee, Steve Ditko, David Koepp","Tobey Maguire, Kirsten Dunst, Willem Dafoe",English,7.3,tt0145487
Spider-Man 3,2014-05-08,2007,PG-13,"Action, Adventure, Sci-Fi",Sam Raimi,"Sam Raimi, Ivan Raimi, Alvin Sargent","Tobey Maguire, Kirsten Dunst, Topher Grace","English, French",6.2,tt0413300
Spotlight,2020-07-30,2015,R,"Biography, Crime, Drama",Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams",English,8.1,tt1895587
Stand and Deliver,2020-07-04,1988,PG,"Biography, Drama",Ramón Menéndez,"Ramón Menéndez, Tom Musca","Edward James Olmos, Estelle Harris, Mark Phelan","English, Spanish",7.3,tt0094027
Stand by Me,2015-10-24,1986,R,"Adventure, Drama",Rob Reiner,"Stephen King, Raynold Gideon, Bruce A. Evans","Wil Wheaton, River Phoenix, Corey Feldman",English,8.1,tt0092005
Star Trek,2021-08-31,2009,PG-13,"Action, Adventure, Sci-Fi",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Gene Roddenberry","Chris Pine, Zachary Quinto, Simon Pegg",English,7.9,tt0796366
Star Wars,2019-04-28,1977,PG,"Action, Adventure, Fantasy",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",English,8.6,tt0076759
Stargate,2017-01-29,1994,PG-13,"Action, Adventure, Sci-Fi",Roland Emmerich,"Dean Devlin, Roland Emmerich","Kurt Russell, James Spader, Jaye Davidson","English, Norwegian, Swedish, Egyptian (Ancient), Arabic",7.1,tt0111282
Starred Up,2020-03-07,2013,Not Rated,"Crime, Drama",David Mackenzie,Jonathan Asser,"Jack O'Connell, Ben Mendelsohn, Rupert Friend",English,7.4,tt2567712
Step Brothers,2014-04-28,2008,R,Comedy,Adam McKay,"Will Ferrell, Adam McKay, John C. Reilly","Will Ferrell, John C. Reilly, Mary Steenburgen","English, Spanish",6.9,tt0838283
Storm Surfers 3D,2014-06-23,2012,TV-G,"Documentary, Adventure","Justin McMillan, Christopher Nelius",N/A,"Toni Collette, Tom Carroll, Ross Clarke-Jones",English,6.5,tt1754546
Stowaway,2021-05-08,2021,TV-MA,"Drama, Sci-Fi, Thriller",Joe Penna,"Joe Penna, Ryan Morrison","Anna Kendrick, Daniel Dae Kim, Shamier Anderson",English,5.6,tt9203694
Straight Up,2020-07-24,2019,Not Rated,"Comedy, Romance",James Sweeney,James Sweeney,"James Sweeney, Omar Guazzelli, Brendan Scannell","English, French",6.9,tt8855960
Stranger Things,2019-07-24,2016–,TV-14,"Drama, Fantasy, Horror",N/A,"Matt Duffer, Ross Duffer","Millie Bobby Brown, Finn Wolfhard, Winona Ryder","English, Russian",8.7,tt4574334
Stranger Than Fiction,2020-10-06,2006,PG-13,"Comedy, Drama, Fantasy",Marc Forster,Zach Helm,"Will Ferrell, Emma Thompson, Dustin Hoffman",English,7.5,tt0420223
Street Food,2020-07-25,2017–,N/A,Documentary,N/A,N/A,Vasilis Kallidis,Greek,N/A,tt7693050
Suffragette,2020-09-05,2015,PG-13,"Drama, History",Sarah Gavron,Abi Morgan,"Carey Mulligan, Anne-Marie Duff, Helena Bonham Carter",English,6.9,tt3077214
Sugar Rush,2018-07-15,2005–2006,N/A,"Drama, Romance",N/A,Katie Baxendale,"Olivia Hallinan, Lenora Crichlow, Richard Lumsden",English,7.7,tt0452568
Suicide Squad,2018-07-28,2016,PG-13,"Action, Adventure, Fantasy",David Ayer,"David Ayer, John Ostrander","Will Smith, Jared Leto, Margot Robbie","English, Japanese, Spanish",5.9,tt1386697
Sunderland 'Til I Die,2020-07-02,2018–,TV-MA,"Documentary, Sport",N/A,N/A,"Nick Barnes, George Honeyman, Aiden McGeady",English,8.1,tt8914684
Sunshine Cleaning,2018-04-16,2008,R,"Comedy, Drama",Christine Jeffs,Megan Holley,"Amy Adams, Emily Blunt, Alan Arkin","English, Spanish",6.8,tt0862846
Super 8,2017-07-08,2011,PG-13,"Mystery, Sci-Fi, Thriller",J.J. Abrams,J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler",English,7.0,tt1650062
Super Troopers,2015-06-06,2001,R,"Comedy, Crime, Mystery",Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","Jay Chandrasekhar, Kevin Heffernan, André Vippolis","English, German, French",7.1,tt0247745
Superbad,2019-09-07,2007,R,Comedy,Greg Mottola,"Seth Rogen, Evan Goldberg","Michael Cera, Jonah Hill, Christopher Mintz-Plasse",English,7.6,tt0829482
Supergirl,2017-07-08,2015–2021,TV-PG,"Action, Adventure, Drama",N/A,"Ali Adler, Greg Berlanti, Andrew Kreisberg","Melissa Benoist, Chyler Leigh, David Harewood",English,6.2,tt4016454
Survivor,2020-11-25,2015,PG-13,"Action, Crime, Thriller",James McTeigue,Philip Shelby,"Milla Jovovich, Pierce Brosnan, Dylan McDermott","English, Pashtu, Mandarin",5.6,tt3247714
TED Talks: War and Peace,2013-10-15,2016,N/A,Documentary,Linda Mendoza,Brian Janosch,Baratunde Thurston,English,8.4,tt5748158
The Way Back,2013-12-02,2010,PG-13,"Adventure, Drama, History",Peter Weir,"Slavomir Rawicz, Peter Weir, Keith R. Clarke","Jim Sturgess, Ed Harris, Colin Farrell","English, Russian, Polish, Tibetan, Mongolian",7.3,tt1023114
Take Care,2016-02-07,2014,TV-14,"Comedy, Drama, Romance",Liz Tuccillo,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",English,6.1,tt3120054
Take the Ball Pass the Ball: The Making of the Greatest Team in the World,2020-09-10,2018,Not Rated,"Documentary, Sport",Duncan McMath,Graham Hunter,"Éric Abidal, Dani Alves, Albert Benaiges","English, Spanish, Catalan",8.0,tt9135854
Tales of Irish Castles,2017-03-05,2014,TV-PG,Documentary,N/A,N/A,"Simon Delaney, Dave Swift, Marcus Seoige",English,7.3,tt5909184
Talladega Nights: The Ballad of Ricky Bobby,2017-11-11,2006,PG-13,"Comedy, Sport",Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, John C. Reilly, Sacha Baron Cohen","English, French",6.6,tt0415306
Tarzan,2016-05-11,1999,G,"Animation, Adventure, Family","Chris Buck, Kevin Lima","Tab Murphy, Bob Tzudiker, Noni White","Tony Goldwyn, Minnie Driver, Brian Blessed",English,7.3,tt0120855
Taxi Driver,2019-08-15,1976,R,"Crime, Drama",Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd","English, Spanish",8.3,tt0075314
Tears of the Sun,2016-03-09,2003,R,"Action, Drama, Thriller",Antoine Fuqua,"Alex Lasker, Patrick Cirillo","Bruce Willis, Cole Hauser, Monica Bellucci",English,6.6,tt0314353
Teenage Bounty Hunters,2020-08-24,2020,TV-MA,"Comedy, Crime, Drama",N/A,Kathleen Jordan,"Maddie Phillips, Anjelica Bette Fellini, Kadeem Hardison",English,7.7,tt10584608
Tenured,2016-02-22,2015,N/A,Comedy,Chris Modoono,"Chris Modoono, Gil Zabarsky","Gil Zabarsky, Kate Flannery, Kathleen Littlefield",English,6.0,tt4077118
Terms and Conditions May Apply,2016-02-10,2013,Not Rated,"Documentary, News",Cullen Hoback,N/A,"Max Schrems, Moby, Mark Zuckerberg",English,7.3,tt2084953
Terra Nova,2017-01-14,2011,TV-14,"Adventure, Drama, Mystery",N/A,"Kelly Marcel, Craig Silverstein","Jason O'Mara, Shelley Conn, Christine Adams",English,6.8,tt1641349
Thank You for Smoking,2017-05-06,2005,R,"Comedy, Drama",Jason Reitman,"Jason Reitman, Christopher Buckley","Aaron Eckhart, Cameron Bright, Maria Bello",English,7.6,tt0427944
The 100,2015-01-08,2014–2020,TV-14,"Drama, Mystery, Sci-Fi",N/A,Jason Rothenberg,"Eliza Taylor, Bob Morley, Marie Avgeropoulos","English, Mandarin, French, Spanish",7.6,tt2661044
The 40 Year Old Virgin,2018-05-22,2005,R,"Comedy, Romance",Judd Apatow,"Judd Apatow, Steve Carell","Steve Carell, Catherine Keener, Paul Rudd","English, Spanish, Japanese",7.1,tt0405422
The Addams Family,2020-10-06,1991,PG-13,"Comedy, Fantasy",Barry Sonnenfeld,"Charles Addams, Caroline Thompson, Larry Wilson","Anjelica Huston, Raul Julia, Christopher Lloyd","English, Italian, French",6.9,tt0101272
The Adventures of Tintin,2018-01-01,2011,PG,"Animation, Action, Adventure",Steven Spielberg,"Hergé, Steven Moffat, Edgar Wright","Jamie Bell, Andy Serkis, Daniel Craig",English,7.3,tt0983193
The Armstrong Lie,2014-07-01,2013,R,"Documentary, Biography, Sport",Alex Gibney,Alex Gibney,"Lance Armstrong, Reed Albergotti, Betsy Andreu",English,7.3,tt1638364
The Arrival,2017-07-09,1996,PG-13,"Mystery, Sci-Fi, Thriller",David Twohy,David Twohy,"Charlie Sheen, Lindsay Crouse, Richard Schiff","English, Spanish",6.2,tt0115571
The Babadook,2018-06-19,2014,Not Rated,"Drama, Horror, Mystery",Jennifer Kent,Jennifer Kent,"Essie Davis, Noah Wiseman, Daniel Henshall",English,6.8,tt2321549
The Ballad of Buster Scruggs,2019-11-30,2018,R,"Comedy, Drama, Musical","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Jack London","Tim Blake Nelson, Willie Watson, Clancy Brown","English, French",7.3,tt6412452
The Barkley Marathons: The Race That Eats Its Young,2016-03-25,2014,Not Rated,"Documentary, Adventure, History","Annika Iltis, Timothy James Kane",N/A,Lazarus Lake,English,7.8,tt2400291
The Best of Men,2015-04-04,2012,Not Rated,"Biography, Drama, History, War",Tim Whitby,Lucy Gannon,"George MacKay, Bebe Sanders, Leigh Quinn, Eddie Marsan",English,8.0,tt2374835
The Beyond,2018-08-21,2017,TV-14,"Drama, Sci-Fi",Hasraf Dulull,Hasraf Dulull,"Jane Perry, Nigel Barber, Noeleen Comiskey",English,4.9,tt5723416
The Big Family Cooking Showdown,2020-12-19,2017–2018,N/A,Reality-TV,N/A,N/A,"Angellica Bell, Tommy Banks, Zoë Ball",English,7.1,tt7518558
The Big Flower Fight,2021-02-23,2020–,N/A,Reality-TV,N/A,N/A,"James Alexander-Sinclair, Kristen Griffith-Vanderyacht, Natasia Demetriou",English,7.4,tt12200714
The Blue Planet,2013-12-09,2001,TV-G,Documentary,N/A,N/A,"David Attenborough, Pierce Brosnan",English,9.0,tt0296310
The Book Thief,2015-02-11,2013,PG-13,"Drama, War",Brian Percival,"Markus Zusak, Michael Petroni","Sophie Nélisse, Geoffrey Rush, Emily Watson","English, German",7.5,tt0816442
The Boy,2018-06-15,2016,PG-13,"Horror, Mystery, Thriller",William Brent Bell,Stacey Menear,"Lauren Cohan, Rupert Evans, James Russell",English,6.0,tt3882082
The Boy Who Harnessed the Wind,2019-03-15,2019,TV-PG,"Biography, Drama, History",Chiwetel Ejiofor,"Chiwetel Ejiofor, William Kamkwamba, Bryan Mealer","Chiwetel Ejiofor, Maxwell Simba, Felix Lemburo","Arabic, Nyanja, English",7.6,tt7533152
The Boy in the Striped Pajamas: Behind the Scenes,2015-12-09,2008,N/A,Short,N/A,N/A,N/A,English,8.6,tt2996662
The Cabin in the Woods,2015-03-16,2011,R,"Horror, Mystery, Thriller",Drew Goddard,"Joss Whedon, Drew Goddard","Kristen Connolly, Chris Hemsworth, Anna Hutchison","English, Japanese",7.0,tt1259521
The Captive,2018-08-18,2014,R,"Crime, Drama, Mystery",Atom Egoyan,"Atom Egoyan, David Fraser","Ryan Reynolds, Scott Speedman, Rosario Dawson",English,5.9,tt2326612
The Chair,2021-08-24,2007,R,"Drama, Horror, Thriller",Brett Sullivan,Michael Capellupo,"Alanna Chisholm, Lauren Roy, Nick Abraham",English,4.3,tt0772172
The Challenge,2020-12-15,2003,G,"Adventure, Comedy, Family",Craig Shapiro,"Elizabeth Kruger (screenplay), Michael Swerdlick (screenplay), Michael Swerdlick (story)","Ashley Olsen, Mary-Kate Olsen, Brian Skala, Lukas Behnken",English,5.3,tt0365043
The Chef Show,2020-03-03,2019–,TV-14,Documentary,N/A,N/A,"Jon Favreau, Roy Choi, Aaron Franklin",English,8.2,tt10359446
The Cider House Rules,2018-09-13,1999,PG-13,"Drama, Romance",Lasse Hallström,John Irving,"Tobey Maguire, Charlize Theron, Michael Caine",English,7.4,tt0124315
The Clapper,2018-05-19,2017,R,"Comedy, Drama",Dito Montiel,Dito Montiel,"Ed Helms, Amanda Seyfried, Tracy Morgan",English,5.1,tt5461956
The Cloverfield Paradox,2018-04-29,2018,PG-13,"Action, Horror, Sci-Fi",Julius Onah,"Oren Uziel, Doug Jung","Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl","English, Mandarin, German",5.5,tt2548396
The Creative Brain,2019-04-20,2019,N/A,Documentary,"Jennifer Beamish, Toby Trackman",David Eagleman,"David Eagleman, Michelle Khine, Bjarke Ingels",English,6.2,tt10338308
The Croods,2014-04-16,2013,PG,"Animation, Adventure, Comedy","Kirk DeMicco, Chris Sanders","Chris Sanders, Kirk DeMicco, John Cleese","Nicolas Cage, Ryan Reynolds, Emma Stone",English,7.2,tt0481499
The Crown,2020-11-27,2016–,TV-MA,"Biography, Drama, History",N/A,Peter Morgan,"Claire Foy, Olivia Colman, Imelda Staunton",English,8.6,tt4786824
